game_id;player1;player2;winner;date
1;Nikita;Aaron;Nikita;2021-04-07 01:30:28
2;dasd;dadsa;dasd;2021-04-07 18:35:23
3;dasads;dasdsa;dasads;2021-04-07 18:38:08
4;ads;das;das;2021-04-07 18:41:43
5;daas;ads;ads;2021-04-07 18:43:45
6;ads;asd;asd;2021-04-07 18:46:12
7;dadd;dadasd;dadd;2021-04-13 22:26:13
8;asdas;dsasa;dsasa;2021-04-22 09:37:18
9;dsad;dasd;dsad;2021-04-22 09:37:52
10;sda;112eqw;sda;2021-04-22 09:38:36
11;dsa;dsa;dsa;2021-04-22 09:46:39
12;sda;fdsf;fdsf;2021-04-22 09:51:16
13;sda;sad;sad;2021-04-22 11:14:59
