game_id;score;date
1;4;2021-04-01 10:27:47
2;0;2021-04-02 17:40:45
3;0;2021-04-02 17:42:20
4;5;2021-04-02 17:43:38
5;6;2021-04-02 17:45:37
6;0;2021-04-02 17:46:06
7;0;2021-04-02 22:02:20
8;0;2021-04-02 22:02:46
9;1;2021-04-02 22:57:03
10;4;2021-04-02 22:57:49
11;1;2021-04-02 23:33:27
12;1;2021-04-02 23:35:04
13;1;2021-04-02 23:35:20
14;23;2021-04-02 23:48:13
15;3;2021-04-03 00:20:31
16;0;2021-04-06 21:44:58
17;1;2021-04-06 21:46:15
18;0;2021-04-06 21:46:27
19;0;2021-04-06 21:48:49
20;0;2021-04-06 21:50:13
21;1;2021-04-06 21:51:37
22;1;2021-04-06 21:51:54
23;1;2021-04-06 21:52:07
24;1;2021-04-06 21:52:58
25;0;2021-04-06 21:59:49
26;0;2021-04-06 22:05:43
27;0;2021-04-06 22:10:30
28;0;2021-04-06 22:10:39
29;0;2021-04-06 22:29:32
30;0;2021-04-06 22:29:45
31;1;2021-04-06 22:31:19
32;1;2021-04-06 22:31:33
33;23;2021-04-07 01:34:42
34;7;2021-04-07 18:29:51
35;1;2021-04-07 18:34:58
36;2;2021-04-07 18:38:40
37;0;2021-04-07 18:38:50
38;1;2021-04-07 18:38:57
39;0;2021-04-07 19:07:02
40;1;2021-04-13 22:07:50
41;0;2021-04-13 22:21:39
42;1;2021-04-13 22:21:55
43;0;2021-04-13 22:25:41
44;0;2021-04-13 22:34:52
